iter	Passed	Remaining
465	729	836
466	730	834
467	732	832
468	733	830
469	734	828
470	735	826
471	736	824
472	738	823
473	740	822
474	742	820
475	743	818
476	744	816
477	745	814
478	746	811
479	747	809
480	748	807
481	749	805
482	750	803
483	751	801
484	752	799
485	753	797
486	755	795
487	756	793
488	757	791
489	758	789
490	759	787
491	761	785
492	762	783
493	763	781
494	764	779
495	765	777
496	766	775
497	767	773
498	768	771
499	770	770
500	771	768
501	772	766
502	773	764
503	774	762
504	775	760
505	776	758
506	777	756
507	778	754
508	780	752
509	781	750
510	782	748
511	783	746
512	784	744
513	785	742
514	786	741
515	788	739
516	788	737
517	790	735
518	791	733
519	792	731
520	793	729
521	794	727
522	795	725
523	796	723
524	797	721
525	799	720
526	800	718
527	801	716
528	802	714
529	803	712
530	804	710
531	805	708
532	806	707
533	808	705
534	809	703
535	810	701
536	811	699
537	812	697
538	813	695
539	815	694
540	816	692
541	817	690
542	818	689
543	819	687
544	820	685
545	821	683
546	823	681
547	824	679
548	825	677
549	826	676
550	827	674
551	828	672
552	830	671
553	831	669
554	832	667
555	833	665
556	834	664
557	836	662
558	837	660
559	838	658
560	839	656
561	840	654
562	841	652
563	842	651
564	843	649
565	844	647
566	845	645
567	846	643
568	847	642
569	848	640
570	849	638
571	851	636
572	852	635
573	853	633
574	854	631
575	855	629
576	856	627
577	857	626
578	858	624
579	860	622
580	861	621
581	862	619
582	863	617
583	865	616
584	866	614
585	867	612
586	868	610
587	869	609
588	870	607
589	871	605
590	872	603
591	873	601
592	874	600
593	875	598
594	876	596
595	877	595
596	879	593
597	880	591
598	881	589
599	882	588
600	883	586
601	884	584
602	885	582
603	886	581
604	887	579
605	888	577
606	889	576
607	890	574
608	891	572
609	892	570
610	894	569
611	895	567
612	896	565
613	897	564
614	898	562
615	899	560
616	900	558
617	901	557
618	902	555
619	903	553
620	904	552
621	906	550
622	907	549
623	908	547
624	909	545
625	910	544
626	911	542
627	912	540
628	913	539
629	915	537
630	916	535
631	917	534
632	918	532
633	919	530
634	920	529
635	922	527
636	923	526
637	924	524
638	925	522
639	926	521
640	927	519
641	928	517
642	929	516
643	930	514
644	932	513
645	933	511
646	934	509
647	935	508
648	936	506
649	937	505
650	938	503
651	940	501
652	940	500
653	942	498
654	943	496
655	944	495
656	945	493
657	946	491
658	947	490
659	948	488
660	950	487
661	951	485
662	952	484
663	953	482
664	954	480
665	955	479
666	956	477
667	957	476
668	958	474
669	959	472
670	960	471
671	962	469
672	963	468
673	964	466
674	965	465
675	966	463
676	968	461
677	969	460
678	970	458
679	971	457
680	972	455
681	973	453
682	974	452
683	975	450
684	976	449
685	978	447
686	979	446
687	980	444
688	981	443
689	982	441
690	983	439
691	984	438
692	985	436
693	987	435
694	988	433
695	989	432
696	990	430
697	991	429
698	993	427
699	994	426
700	995	424
701	996	423
702	997	421
703	998	419
704	999	418
705	1001	416
706	1002	415
707	1003	413
708	1004	412
709	1005	410
710	1006	408
711	1007	407
712	1008	405
713	1009	404
714	1010	402
715	1011	401
716	1012	399
717	1014	398
718	1015	396
719	1016	395
720	1017	393
721	1018	392
722	1019	390
723	1020	388
724	1021	387
725	1022	386
726	1023	384
727	1024	382
728	1025	381
729	1026	379
730	1027	378
731	1028	376
732	1029	375
733	1030	373
734	1031	372
735	1032	370
736	1034	369
737	1035	367
738	1036	366
739	1037	364
740	1039	363
741	1040	361
742	1042	360
743	1043	358
744	1044	357
745	1045	356
746	1046	354
747	1048	353
748	1049	351
749	1050	350
750	1051	348
751	1052	347
752	1054	345
753	1055	344
754	1056	342
755	1057	341
756	1058	339
757	1059	338
758	1060	336
759	1061	335
760	1062	333
761	1063	332
762	1064	330
763	1065	329
764	1067	327
765	1068	326
766	1069	324
767	1070	323
768	1071	321
769	1072	320
770	1073	318
771	1074	317
772	1075	315
773	1076	314
774	1077	312
775	1078	311
776	1080	309
777	1081	308
778	1082	307
779	1084	305
780	1085	304
781	1086	302
782	1087	301
783	1088	299
784	1089	298
785	1090	296
786	1091	295
787	1092	293
788	1093	292
789	1094	291
790	1095	289
791	1097	288
792	1098	286
793	1099	285
794	1100	283
795	1101	282
796	1103	280
797	1104	279
798	1105	278
799	1106	276
800	1107	275
801	1108	273
802	1110	272
803	1111	270
804	1112	269
805	1113	268
806	1114	266
807	1115	265
808	1116	263
809	1117	262
810	1119	260
811	1120	259
812	1121	257
813	1122	256
814	1123	254
815	1124	253
816	1125	252
817	1127	250
818	1128	249
819	1129	248
820	1130	246
821	1131	245
822	1133	243
823	1134	242
824	1135	240
825	1136	239
826	1137	237
827	1138	236
828	1139	235
829	1140	233
830	1142	232
831	1143	230
832	1145	229
833	1146	228
834	1147	226
835	1148	225
836	1149	223
837	1150	222
838	1151	221
839	1152	219
840	1153	218
841	1155	216
842	1156	215
843	1157	213
844	1158	212
845	1160	211
846	1161	209
847	1162	208
848	1163	206
849	1164	205
850	1165	204
851	1166	202
852	1167	201
853	1168	199
854	1169	198
855	1171	197
856	1173	195
857	1174	194
858	1175	192
859	1176	191
860	1177	190
861	1178	188
862	1179	187
863	1180	185
864	1181	184
865	1182	183
866	1183	181
867	1184	180
868	1186	178
869	1187	177
870	1188	176
871	1189	174
872	1190	173
873	1191	171
874	1192	170
875	1193	169
876	1195	167
877	1196	166
878	1197	164
879	1198	163
880	1199	162
881	1200	160
882	1201	159
883	1203	157
884	1204	156
885	1205	155
886	1206	153
887	1207	152
888	1208	150
889	1209	149
890	1210	148
891	1212	146
892	1213	145
893	1214	143
894	1215	142
895	1217	141
896	1218	139
897	1219	138
898	1220	137
899	1221	135
900	1222	134
901	1223	132
902	1224	131
903	1225	130
904	1226	128
905	1227	127
906	1230	126
907	1231	124
908	1232	123
909	1233	122
910	1234	120
911	1235	119
912	1236	117
913	1237	116
914	1238	115
915	1239	113
916	1240	112
917	1242	110
918	1242	109
919	1244	108
920	1245	106
921	1246	105
922	1247	104
923	1248	102
924	1249	101
925	1250	99
926	1252	98
927	1253	97
928	1254	95
929	1255	94
930	1256	93
931	1257	91
932	1258	90
933	1260	89
934	1261	87
935	1262	86
936	1263	84
937	1264	83
938	1265	82
939	1266	80
940	1267	79
941	1269	78
942	1270	76
943	1271	75
944	1272	74
945	1273	72
946	1274	71
947	1275	69
948	1276	68
949	1277	67
950	1279	65
951	1280	64
952	1281	63
953	1282	61
954	1283	60
955	1284	59
956	1285	57
957	1286	56
958	1287	55
959	1288	53
960	1289	52
961	1290	50
962	1292	49
963	1292	48
964	1293	46
965	1294	45
966	1295	44
967	1297	42
968	1298	41
969	1299	40
970	1300	38
971	1301	37
972	1302	36
973	1303	34
974	1305	33
975	1306	32
976	1307	30
977	1308	29
978	1309	28
979	1310	26
980	1311	25
981	1312	24
982	1314	22
983	1315	21
984	1316	20
985	1317	18
986	1318	17
987	1319	16
988	1320	14
989	1321	13
990	1323	12
991	1324	10
992	1325	9
993	1326	8
994	1327	6
995	1328	5
996	1329	4
997	1330	2
998	1331	1
999	1332	0
